1	USA	2,143,648	+1,424	117,555	+28	854,106	1,171,987	16,744	6,478	355	24,292,171	73,410	330,912,290
2	Brazil	851,321	+525	42,802	+11	437,512	371,007	8,318	4,006	201	1,499,041	7,055	212,488,104
3	Russia	528,964	+8,835	6,948	+119	280,050	241,966	2,300	3,625	48	14,880,172	101,967	145,931,723
4	India	324,482	+2,856	9,247	+48	164,803	150,432	8,944	235	7	5,658,614	4,102	1,379,344,820
5	UK	294,375		41,662		N/A	N/A	492	4,337	614	6,624,676	97,609	67,869,522
6	Spain	290,685		27,136		N/A	N/A	617	6,217	580	4,465,338	95,507	46,753,986
7	Italy	236,651		34,301		174,865	27,485	220	3,914	567	4,564,191	75,484	60,465,633
8	Peru	225,132		6,498		111,724	106,910	1,113	6,833	197	1,338,477	40,623	32,948,535
9	Germany	187,489	+66	8,867		172,200	6,422	447	2,238	106	4,694,147	56,035	83,771,837
10	Iran	187,427	+2,472	8,837	+107	148,674	29,916	2,781	2,233	105	1,244,074	14,821	83,939,011
11	Turkey	176,677		4,792		150,087	21,798	684	2,096	57	2,586,995	30,690	84,294,508
12	Chile	167,355		3,101		137,296	26,958	1,656	8,758	162	819,999	42,913	19,108,331
13	France	156,813		29,398		72,808	54,607	871	2,403	450	1,384,633	21,215	65,267,057
14	Mexico	142,690	+3,494	16,872	+424	104,975	20,843	378	1,107	131	401,755	3,118	128,866,423
15	Pakistan	139,230	+6,825	2,632	+81	51,735	84,863	111	631	12	868,565	3,936	220,661,983
16	Saudi Arabia	127,541	+4,233	972	+40	84,720	41,849	1,855	3,666	28	1,106,398	31,806	34,785,871
17	Canada	98,410		8,107		59,354	30,949	1,937	2,609	215	2,113,924	56,033	37,726,251
18	Bangladesh	87,520	+3,141	1,171	+32	18,730	67,619	1	532	7	504,465	3,065	164,609,508
19	China	83,132	+57	4,634		78,369	129		58	3			1,439,323,776
20	Qatar	79,602	+1,186	73	+3	56,898	22,631	231	28,350	26	290,714	103,538	2,807,805
21	South Africa	65,736		1,423		36,850	27,463	208	1,109	24	1,087,887	18,354	59,271,249
22	Belgium	60,029	+111	9,655	+5	16,589	33,785	82	5,181	833	1,024,302	88,399	11,587,314
23	Belarus	53,973	+732	308	+5	30,103	23,562	92	5,712	33	733,788	77,654	9,449,458
24	Sweden	51,614	+38	4,874		N/A	N/A	272	5,112	483	325,000	32,190	10,096,321
25	Netherlands	48,783	+143	6,059	+2	N/A	N/A	77	2,847	354	455,067	26,561	17,133,178
26	Colombia	48,746		1,592		19,426	27,728	335	959	31	482,832	9,494	50,856,291
27	Ecuador	46,356		3,874		22,865	19,617	219	2,629	220	134,141	7,609	17,629,274
28	Egypt	42,980		1,484		11,529	29,967	41	420	15	135,000	1,321	102,231,323
29	UAE	42,294	+304	289	+1	27,462	14,543	1	4,279	29	2,626,000	265,670	9,884,452
30	Singapore	40,604	+407	26		28,808	11,770	1	6,943	4	488,695	83,564	5,848,152
31	Indonesia	38,277	+857	2,134	+43	14,531	21,612		140	8	514,287	1,881	273,381,886
32	Portugal	36,690	+227	1,517	+5	22,669	12,504	73	3,598	149	975,737	95,680	10,197,961
33	Kuwait	35,920	+454	296	+7	26,759	8,865	171	8,417	69	334,612	78,412	4,267,336
34	Ukraine	31,154	+648	889	+9	14,082	16,183	314	712	20	489,334	11,186	43,744,419
35	Switzerland	31,117	+23	1,938		28,800	379	15	3,597	224	458,933	53,046	8,651,628
36	Argentina	30,295		819	+4	9,564	19,912	274	671	18	234,370	5,188	45,175,755
37	Poland	29,392	+375	1,247	+10	14,226	13,919	83	777	33	1,188,742	31,408	37,848,394
38	Philippines	25,930	+538	1,088	+14	5,954	18,888	82	237	10	495,529	4,525	109,507,509
39	Ireland	25,295		1,705		22,698	892	28	5,126	345	367,780	74,524	4,935,066
40	Afghanistan	24,766	+664	471	+20	4,725	19,570	19	637	12	55,981	1,440	38,879,781
41	Oman	23,481	+1,404	104	+5	8,454	14,923	100	4,605	20	139,760	27,408	5,099,223
42	Dominican Republic	22,962	+390	592	+15	13,320	9,050	124	2,118	55	107,175	9,885	10,842,611
43	Romania	21,999	+320	1,410	+16	15,719	4,870	165	1,143	73	560,596	29,133	19,242,854
44	Iraq	20,209	+1,259	607	+58	8,121	11,481	128	503	15	369,870	9,207	40,172,534
45	Panama	20,059		429		13,759	5,871	96	4,653	100	89,736	20,814	4,311,253
46	Israel	19,008	+36	300		15,360	3,348	34	2,067	33	747,956	81,321	9,197,590
47	Bahrain	18,227	+514	41	+4	12,818	5,368	18	10,735	24	418,413	246,431	1,697,893
